dme1_000000007			
dme1_000002029	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Gobiidae(1.00),g:Gobius(1.00),s:Gobius_niger(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Gobiidae,g:Gobius,s:Gobius_niger
dme1_000002248	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gasterosteiformes(1.00),f:Gasterosteidae(1.00),g:Spinachia(1.00),s:Spinachia_spinachia(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gasterosteiformes,f:Gasterosteidae,g:Spinachia,s:Spinachia_spinachia
dme1_000001931	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Scombridae(1.00),g:Scomber(1.00),s:Scomber_scombrus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Scombridae,g:Scomber,s:Scomber_scombrus
dme1_000002397	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gadiformes(1.00),f:Gadidae(1.00),g:Trisopterus(1.00),s:Trisopterus_minutus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gadiformes,f:Gadidae,g:Trisopterus,s:Trisopterus_minutus
dme1_000001503			
dme1_000002246	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Pleuronectiformes(1.00),f:Soleidae(1.00),g:Solea(1.00),s:Solea_solea(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Pleuronectiformes,f:Soleidae,g:Solea,s:Solea_solea
dme1_000002083	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Siluriformes(1.00),f:Ictaluridae(1.00),g:Ictalurus(0.79),s:Ictalurus_punctatus(0.79)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Siluriformes,f:Ictaluridae,g:Ictalurus,s:Ictalurus_punctatus
dme1_000001929			
dme1_000002908			
dme1_000002187	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Labridae(1.00),g:Symphodus(1.00),s:Symphodus_bailloni(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Labridae,g:Symphodus,s:Symphodus_bailloni
dme1_000002159			
dme1_000002680	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gadiformes(1.00),f:Merlucciidae(1.00),g:Merluccius(1.00),s:Merluccius_merluccius(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gadiformes,f:Merlucciidae,g:Merluccius,s:Merluccius_merluccius
dme1_000002128			
dme1_000002704	k:Animalia(1.00),p:Chordata(1.00),c:Elasmobranchii(1.00),o:Carcharhiniformes(1.00),f:Scyliorhinidae(1.00),g:Galeus(1.00),s:Galeus_melastomus(1.00)	+	k:Animalia,p:Chordata,c:Elasmobranchii,o:Carcharhiniformes,f:Scyliorhinidae,g:Galeus,s:Galeus_melastomus
