othe_000000066;size=93345;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Salmoniformes(1.00),f:Salmonidae(1.00),g:Salmo(1.00),s:Salmo_salar(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar
othe_000000236;size=265;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.61),f:Centrarchidae(0.36),g:Ambloplites(0.36),s:Ambloplites_rupestris(0.36)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000008084;size=313;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Gobiidae(1.00),g:Pomatoschistus(1.00),s:Pomatoschistus_minutus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Gobiidae,g:Pomatoschistus,s:Pomatoschistus_minutus
othe_000000246;size=6635;				
othe_000001269;size=280;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Labridae(1.00),g:Symphodus(1.00),s:Symphodus_melops(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Labridae,g:Symphodus,s:Symphodus_melops
othe_000000515;size=1439;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.78),f:Anarhichadidae(0.42),g:Anarhichas(0.42),s:Anarhichas_denticulatus(0.42)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000009667;size=259;				
othe_000000292;size=817;				
othe_000010856;size=318;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Scorpaeniformes(1.00),f:Cottidae(1.00),g:Myoxocephalus(1.00),s:Myoxocephalus_scorpius(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Scorpaeniformes,f:Cottidae,g:Myoxocephalus,s:Myoxocephalus_scorpius
othe_000019142;size=230;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Beloniformes(0.99),f:Exocoetidae(0.99),g:Cheilopogon(0.99),s:Cheilopogon_heterurus(0.99)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Beloniformes,f:Exocoetidae,g:Cheilopogon,s:Cheilopogon_heterurus
othe_000004172;size=257;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.87),f:Howellidae(0.11),g:Howella(0.11),s:Howella_brodiei(0.11)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000004967;size=282;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gasterosteiformes(0.06),f:Gasterosteidae(0.06),g:Gasterosteus(0.06),s:Gasterosteus_aculeatus(0.06)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000000059;size=3929;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gadiformes(1.00),f:Lotidae(1.00),g:Ciliata(1.00),s:Ciliata_mustela(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gadiformes,f:Lotidae,g:Ciliata,s:Ciliata_mustela
othe_000000062;size=232;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.90),f:Carangidae(0.56),g:Naucrates(0.34),s:Naucrates_ductor(0.34)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000000358;size=366;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Stomiiformes(0.08),f:Stomiidae(0.08),g:Borostomias(0.04),s:Borostomias_antarcticus(0.04)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000005374;size=330;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Labridae(1.00),g:Ctenolabrus(1.00),s:Ctenolabrus_rupestris(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Labridae,g:Ctenolabrus,s:Ctenolabrus_rupestris
othe_000004204;size=785;				
othe_000007391;size=293;				
othe_000004572;size=819;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.86),f:Labridae(0.79),g:Coris(0.75),s:Coris_julis(0.75)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Labridae,g:Coris,s:Coris_julis
