dmt2_000000013;size=149219;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Anguilliformes(1.00),f:Muraenidae(1.00),g:Muraena(1.00),s:Muraena_helena(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Anguilliformes,f:Muraenidae,g:Muraena,s:Muraena_helena
dmt2_000000088;size=2551;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.92),f:Istiophoridae(0.11),g:Istiophorus(0.11),s:Istiophorus_albicans(0.11)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000000698;size=1261;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Pholidae(1.00),g:Pholis(1.00),s:Pholis_gunnellus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Pholidae,g:Pholis,s:Pholis_gunnellus
dmt2_000000250;size=1571;				
dmt2_000001133;size=1620;				
dmt2_000000117;size=3757;				
dmt2_000000046;size=2500;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.81),f:Cichlidae(0.23),g:Coptodon(0.23),s:Coptodon_zillii(0.23)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000000126;size=4243;				
dmt2_000000037;size=4677;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.76),f:Cichlidae(0.43),g:Oreochromis(0.35),s:Oreochromis_niloticus(0.35)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000000154;size=2274;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.99),f:Sparidae(0.98),g:Pagellus(0.79),s:Pagellus_erythrinus(0.42)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Sparidae,g:Pagellus
dmt2_000002055;size=776;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Tetraodontiformes(0.36),f:Balistidae(0.34),g:Balistes(0.34),s:Balistes_capriscus(0.34)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000001211;size=1184;				
dmt2_000000143;size=1738;				
dmt2_000001701;size=2735;				
dmt2_000001107;size=844;				
dmt2_000000976;size=1527;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Syngnathiformes(0.10),f:Syngnathidae(0.10),g:Syngnathus(0.10),s:Syngnathus_typhle(0.07)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000000981;size=1342;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.43),f:Ammodytidae(0.39),g:Gymnammodytes(0.27),s:Gymnammodytes_semisquamatus(0.27)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000000015;size=19553;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.85),f:Luvaridae(0.13),g:Luvarus(0.13),s:Luvarus_imperialis(0.13)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000000129;size=1717;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Ammodytidae(1.00),g:Gymnammodytes(1.00),s:Gymnammodytes_semisquamatus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Gymnammodytes,s:Gymnammodytes_semisquamatus
dmt2_000000032;size=1447;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Sparidae(1.00),g:Pagellus(0.36),s:Pagellus_bogaraveo(0.21)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Sparidae
dmt2_000000511;size=815;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Scorpaeniformes(1.00),f:Cyclopteridae(1.00),g:Cyclopterus(1.00),s:Cyclopterus_lumpus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Scorpaeniformes,f:Cyclopteridae,g:Cyclopterus,s:Cyclopterus_lumpus
dmt2_000000611;size=1265;				
dmt2_000000161;size=2903;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Scorpaeniformes(0.02),f:Cottidae(0.01),g:Artediellus(0.01),s:Artediellus_atlanticus(0.01)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000002196;size=938;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Gobiidae(1.00),g:Pomatoschistus(1.00),s:Pomatoschistus_microps(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Gobiidae,g:Pomatoschistus,s:Pomatoschistus_microps
dmt2_000001770;size=745;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.86),f:Luvaridae(0.84),g:Luvarus(0.84),s:Luvarus_imperialis(0.84)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Luvaridae,g:Luvarus,s:Luvarus_imperialis
dmt2_000004424;size=490;				
dmt2_000001829;size=879;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.94),f:Sparidae(0.76),g:Pagellus(0.71),s:Pagellus_erythrinus(0.71)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Sparidae,g:Pagellus,s:Pagellus_erythrinus
dmt2_000000182;size=1099;				
dmt2_000001836;size=737;				
dmt2_000001654;size=1466;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Gobiidae(1.00),g:Gobius(1.00),s:Gobius_niger(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Gobiidae,g:Gobius,s:Gobius_niger
dmt2_000001868;size=527;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.58),f:Centrarchidae(0.13),g:Ambloplites(0.08),s:Ambloplites_rupestris(0.08)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000000086;size=14062;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Anguilliformes(1.00),f:Anguillidae(1.00),g:Anguilla(1.00),s:Anguilla_anguilla(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Anguilliformes,f:Anguillidae,g:Anguilla,s:Anguilla_anguilla
dmt2_000000217;size=672;				
dmt2_000007281;size=477;				
dmt2_000000302;size=551;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.84),f:Percidae(0.22),g:Perca(0.18),s:Perca_fluviatilis(0.18)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000001272;size=458;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.47),f:Percidae(0.19),g:Sander(0.16),s:Sander_lucioperca(0.16)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000003691;size=553;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Beryciformes(0.15),f:Trachichthyidae(0.13),g:Hoplostethus(0.13),s:Hoplostethus_atlanticus(0.13)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000001059;size=2816;				
dmt2_000003244;size=679;				
dmt2_000001388;size=697;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.74),f:Howellidae(0.11),g:Howella(0.11),s:Howella_brodiei(0.11)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000004559;size=433;				
dmt2_000000585;size=727;				
dmt2_000000100;size=1255;				
dmt2_000000468;size=2328;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.70),f:Moronidae(0.08),g:Dicentrarchus(0.08),s:Dicentrarchus_labrax(0.08)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000000719;size=1128;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Pleuronectiformes(0.97),f:Pleuronectidae(0.97),g:Hippoglossoides(0.51),s:Hippoglossoides_platessoides(0.51)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Pleuronectiformes,f:Pleuronectidae
dmt2_000004564;size=433;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Tetraodontiformes(0.97),f:Tetraodontidae(0.97),g:Sphoeroides(0.97),s:Sphoeroides_pachygaster(0.97)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Tetraodontiformes,f:Tetraodontidae,g:Sphoeroides,s:Sphoeroides_pachygaster
dmt2_000000408;size=430;				
dmt2_000004042;size=430;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.98),f:Luvaridae(0.95),g:Luvarus(0.95),s:Luvarus_imperialis(0.95)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Luvaridae,g:Luvarus,s:Luvarus_imperialis
dmt2_000004005;size=378;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gadiformes(1.00),f:Gadidae(1.00),g:Gadus(1.00),s:Gadus_morhua(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gadiformes,f:Gadidae,g:Gadus,s:Gadus_morhua
dmt2_000001322;size=419;				
dmt2_000003643;size=585;				
dmt2_000001342;size=278;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Tetraodontiformes(0.93),f:Tetraodontidae(0.93),g:Sphoeroides(0.93),s:Sphoeroides_pachygaster(0.93)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Tetraodontiformes,f:Tetraodontidae,g:Sphoeroides,s:Sphoeroides_pachygaster
dmt2_000004635;size=208;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Moronidae(1.00),g:Dicentrarchus(1.00),s:Dicentrarchus_labrax(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Moronidae,g:Dicentrarchus,s:Dicentrarchus_labrax
dmt2_000006505;size=269;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.79),f:Percidae(0.05),g:Sander(0.05),s:Sander_lucioperca(0.05)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000002063;size=302;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.76),f:Gempylidae(0.15),g:Lepidocybium(0.15),s:Lepidocybium_flavobrunneum(0.15)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000000165;size=292;				
dmt2_000007085;size=133;				
dmt2_000004728;size=347;				
dmt2_000000304;size=156;				
dmt2_000005904;size=275;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.68),f:Howellidae(0.02),g:Howella(0.02),s:Howella_brodiei(0.02)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000008127;size=80;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.69),f:Istiophoridae(0.20),g:Istiophorus(0.20),s:Istiophorus_albicans(0.20)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000001233;size=239;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Scorpaeniformes(1.00),f:Liparidae(1.00),g:Liparis(1.00),s:Liparis_montagui(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Scorpaeniformes,f:Liparidae,g:Liparis,s:Liparis_montagui
dmt2_000003416;size=202;				
dmt2_000007207;size=151;				
dmt2_000002880;size=135;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Siluriformes(0.99),f:Ictaluridae(0.89),g:Ictalurus(0.74),s:Ictalurus_punctatus(0.74)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Siluriformes,f:Ictaluridae,g:Ictalurus,s:Ictalurus_punctatus
dmt2_000010200;size=263;				
